GeogName,GeoID,Borough,TotalPopulation2016,White2016,RateWhite2016,RateNonWhite2016,Income2016,TotalUnits2016,Owned2016,Rented2016,OwnedRate2016,RentedRate2016,Rent2016,HouseValue2016,X1_2016,X2_2016,X3_2016,GFactor2016,TotalPopulation2010,White2010,RateWhite2010,RateNonWhite2010,Income2010,TotalUnits2010,Owned2010,Rented2010,OwnedRate2010,RentedRate2010,Rent2010,HouseValue2010,X1_2010,X2_2010,X3_2010,GFactor2010,TotalPopulationChange,WhiteChange,RateWhiteChange,RateNonWhiteChange,IncomeChange,TotalUnitsChange,OwnedChange,RentedChange,OwnedRateChange,RentedRateChange,RentChange,HouseValueChange,X1_Change,X2_Change,X3_Change,GFactorChange
Ocean Parkway South,BK46,Brooklyn,19593,17152,0.875414689,0.124585311,49708,6644,2801,3573,0.421583384,0.537778447,1184,639456,0.302761966,0.079191873,0.203078339,0.585032178,21253,17545,0.83,0.17,54104,6832,2873,3959,0.42,0.58,1371,774670,0.29,0.08,0.13,0.5,0.08,0.02,-0.06,0.4,0.09,0.03,0.03,0.11,0,0.08,0.16,0.21,-0.04,0.03,-0.38,-0.4
Old Astoria,QN71,Queens,26846,9280,0.345675333,0.654324667,48385,10808,1728,8942,0.159881569,0.827350111,1240,573528,0.11831777,0.075814891,0.1792603,0.373392961,28110,10670,0.38,0.62,55087,11439,1560,9879,0.14,0.86,1515,545116,0.13,0.08,0.09,0.3,0.05,0.15,0.1,-0.05,0.14,0.06,-0.1,0.1,-0.15,0.04,0.22,-0.05,0.12,0.1,-0.51,-0.29
Old Town-Dongan Hills-South Beach,SI36,Staten Island,25030,18457,0.737395126,0.262604874,55972,9018,5902,2925,0.65446884,0.324351297,1069,470759,0.254706432,0.095180846,0.142132583,0.492019861,24927,17312,0.69,0.31,65994,8561,5690,2871,0.66,0.34,1191,445755,0.24,0.11,0.07,0.42,0,-0.06,-0.06,0.16,0.18,-0.05,-0.04,-0.02,0.02,0.03,0.11,-0.05,-0.04,0.16,-0.5,-0.38
Ozone Park,QN56,Queens,21247,7078,0.333129383,0.666870617,59100,6834,3916,2816,0.573017267,0.41205736,1195,481198,0.113949532,0.103165122,0.145903917,0.363018572,23415,5389,0.23,0.77,70275,6954,3991,2963,0.57,0.43,1379,441648,0.08,0.12,0.07,0.27,0.1,-0.24,-0.31,0.15,0.19,0.02,0.02,0.05,0,0.03,0.15,-0.08,-0.3,0.18,-0.52,-0.65
Park Slope-Gowanus,BK37,Brooklyn,71058,46207,0.650271609,0.349728391,90008,30893,12377,18039,0.400640922,0.583918687,1598,901505,0.224371841,0.182058351,0.2977497,0.704179891,73881,49436,0.67,0.33,113781,31147,12243,18904,0.39,0.61,2050,997876,0.23,0.23,0.16,0.63,0.04,0.07,0.03,-0.05,0.26,0.01,-0.01,0.05,-0.02,0.04,0.28,0.11,0.05,0.26,-0.45,-0.14
park-cemetery-etc-Bronx,BX99,Bronx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
park-cemetery-etc-Brooklyn,BK99,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
park-cemetery-etc-Manhattan,MN99,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
park-cemetery-etc-Queens,QN99,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
park-cemetery-etc-Staten Island,SI99,Staten Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
